iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
ABW,EST,0,0,0,0,0,0,0,0,9088.512,9088.512,9140.629,9140.022
ABW,ETH,0,0,0,0,0,0,0,0,11817.33,11817.33,11800.59,11799.45
ABW,FIN,0,0,0,0,0,0,0,0,9087.563,9087.563,9056.373,9055.602
ABW,FJI,0,0,1,0,0,0,0,0,12692.41,12692.41,12718.24,12717.95
ABW,FLK,0,0,1,0,0,0,0,0,7248.144,7248.144,7245.113,7244.386
ABW,FRA,0,0,0,0,0,0,0,0,7685.884,7685.884,7716.752,7711.83
ABW,FRO,0,0,0,0,0,0,0,0,7410.507,7410.507,7411.008,7410.994
ABW,FSM,0,0,1,0,0,0,0,0,14263.71,14263.71,14778.64,14760.92
ABW,GAB,0,0,0,0,0,0,0,0,8868.927,8868.927,8929.761,8927.159
ABW,GBR,0,0,1,0,0,0,0,0,7541.243,7541.243,7480.796,7479.964
ABW,GEO,0,0,0,0,0,0,0,0,11056.94,11056.94,10965.28,10963.97
ABW,GHA,0,0,1,0,0,0,0,0,7697.944,7697.944,7620.656,7619.561
ABW,GIB,0,1,1,0,0,0,0,0,6937.016,6937.016,6930.324,6930.323
ABW,GIN,0,0,0,0,0,0,0,0,5940.813,5940.813,6247.763,6242.909
ABW,GLP,0,0,0,0,0,0,0,0,980.5495,980.5495,999.6449,999.3907
ABW,GMB,0,0,1,0,0,0,0,0,5785.502,5785.502,5805.39,5804.388
ABW,GNB,0,0,0,0,0,0,0,0,5912.736,5912.736,5917.132,5916.901
ABW,GNQ,0,1,0,0,0,0,0,0,8721.603,8721.603,8801.053,8799.838
ABW,GRC,0,0,0,0,0,0,0,0,9491.157,9491.157,9457.37,9456.786
ABW,GRD,0,0,1,0,0,0,0,0,911.348,911.348,902.1115,902.008
ABW,GRL,0,0,0,0,0,0,0,0,5921.006,5921.006,6174.272,6151.556
ABW,GTM,0,1,0,0,0,0,0,0,2220.068,2220.068,2252.726,2251.409
ABW,GUF,0,0,0,0,0,0,0,0,2128.791,2128.791,2061.801,2057.799
ABW,GUY,0,0,1,0,0,0,0,0,1458.406,1458.406,1463.903,1462.419
ABW,HKG,0,0,1,0,0,0,0,0,16131.13,16131.13,16132.21,16132.21
ABW,HND,0,1,0,0,0,0,0,0,1863.05,1863.05,1921.08,1918.602
ABW,HRV,0,0,0,0,0,0,0,0,8716.868,8716.868,8740.689,8739.732
ABW,HTI,0,0,0,0,0,0,0,0,709.3878,709.3878,741.5887,739.216
ABW,HUN,0,0,0,0,0,0,0,0,8927.636,8927.636,8940.5,8939.646
ABW,IDN,0,0,0,0,1,0,0,0,19240.39,19240.39,19054.85,19043.14
ABW,IND,0,0,1,0,0,0,0,0,14258.17,14258.17,14750.66,14736.86
ABW,IRL,0,0,1,0,0,0,0,0,7174.017,7174.017,7123.465,7122.626
ABW,IRN,0,0,0,0,0,0,0,0,11880.18,11880.18,11939.98,11930.09
ABW,IRQ,0,0,0,0,0,0,0,0,11426.34,11426.34,11443.27,11440.46
ABW,ISL,0,0,0,0,0,0,0,0,6827.22,6827.22,6857.101,6856.186
ABW,ISR,0,0,1,0,0,0,0,0,10635.04,10635.04,10642.42,10642.38
ABW,ITA,0,0,0,0,0,0,0,0,8480.133,8480.133,8427.789,8422.343
ABW,JAM,0,0,1,0,0,0,0,0,938.3511,938.3511,977.9513,976.2388
ABW,JOR,0,0,1,0,0,0,0,0,10744.01,10744.01,10735.08,10735.06
ABW,JPN,0,0,0,0,0,0,0,0,13815.84,13815.84,13944.01,13937.19
ABW,KAZ,0,0,0,0,0,0,0,0,12977.21,12028.06,12272.97,12246.68
ABW,KEN,0,0,1,0,0,0,0,0,11887.17,11887.17,11902.34,11899.2
ABW,KGZ,0,0,0,0,0,0,0,0,12891.46,12891.46,12931.08,12930.75
ABW,KHM,0,0,0,0,0,0,0,0,17292,17292,17255.06,17254.57
ABW,KIR,0,0,1,0,0,0,0,0,12879.52,12879.52,12784.47,12752.67
ABW,KNA,0,0,1,0,0,0,0,0,952.6719,952.6719,1383.822,976.5087
ABW,KOR,0,0,1,0,0,0,0,0,14183.6,14183.6,14259.77,14259.24
ABW,KWT,0,0,1,0,0,0,0,0,11922.28,11922.28,11920.19,11920.18
ABW,LAO,0,0,0,0,0,0,0,0,16543.05,16543.05,16573.99,16570.5
ABW,LBN,0,0,1,0,0,0,0,0,10635.64,10635.64,10634.9,10634.88
ABW,LBR,0,0,1,0,0,0,0,0,6538.721,6538.721,6573.056,6571.486
ABW,LBY,0,0,0,0,0,0,0,0,8638.483,8638.483,8900.735,8887.955
ABW,LCA,0,0,1,0,0,0,0,0,1000.846,1000.846,989.2425,989.2026
ABW,LKA,0,0,0,0,0,0,0,0,16067.56,16067.56,16049.5,16049.18
ABW,LSO,0,0,1,0,0,0,0,0,11423.01,11423.01,11425.88,11425.77
ABW,LTU,0,0,0,0,0,0,0,0,9223.909,9223.909,9122.045,9121.059
ABW,LUX,0,0,0,0,0,0,0,0,7967.711,7967.711,7957.687,7957.678
ABW,LVA,0,0,0,0,0,0,0,0,9100.948,9100.948,9111.286,9110.4
ABW,MAC,0,0,0,0,0,0,0,0,16137.89,16137.89,.,.
ABW,MAR,0,0,0,0,0,0,0,0,6782.739,6782.739,6777.431,6773.627
ABW,MDA,0,0,0,0,0,0,0,0,9662.548,9662.548,9653.517,9653.259
ABW,MDG,0,0,0,0,0,0,0,0,13342.62,13342.62,13328.07,13326.89
ABW,MDV,0,0,0,0,0,0,0,0,15595.96,15595.96,15591.33,15590.73
ABW,MEX,0,1,0,0,0,0,0,0,3197.777,3197.777,3516.021,3433.252
ABW,MHL,0,0,1,0,0,0,0,0,12908.49,12908.49,13034.27,13032.87
ABW,MKD,0,0,0,0,0,0,0,0,9214.088,9214.088,9217.8,9217.654
ABW,MLI,0,0,0,0,0,0,0,0,6729.114,6729.114,6799.604,6792.552
ABW,MLT,0,0,1,0,0,0,0,0,8723.98,8723.98,8711.66,8711.655
ABW,MMR,0,0,0,0,0,0,0,0,16436.57,16436.57,16303.36,16299.34
ABW,MNG,0,0,0,0,0,0,0,0,13299.1,13299.1,13300.46,13298.9
ABW,MNP,0,0,1,0,0,0,0,0,15020.25,15020.25,15045.63,15045.59
ABW,MOZ,0,0,0,0,0,0,0,0,11878.69,11878.69,12049.38,12044.73
ABW,MRT,0,0,0,0,0,0,0,0,5824.114,5824.114,5932.266,5923.608
ABW,MSR,0,0,1,0,0,0,0,0,966.2597,966.2597,.,.
ABW,MTQ,0,0,0,0,0,0,0,0,1001.726,1001.726,998.6534,998.5741
ABW,MUS,0,0,1,0,0,0,0,0,14395.81,14395.81,14382.7,14382.69
ABW,MWI,0,0,1,0,0,0,0,0,11828.46,11828.46,11885.31,11884.64
ABW,MYS,0,0,0,0,0,0,0,0,18066.89,18066.89,18042.02,18040.25
ABW,NAM,0,0,1,0,0,0,0,0,10267.96,10267.96,10238.2,10235.29
